"","site","vol"
"MPO-037_0.5km","MPO-037_0.5km","144991.89799125"
"MPO-038_0.5km","MPO-038_0.5km","1526217.7450575"
"MPO-039_0.5km","MPO-039_0.5km","4344421.58562125"
"MPO-040_0.5km","MPO-040_0.5km","1701009.3161925"
"MPO-041_0.5km","MPO-041_0.5km","18887.45268"
"MPO-042_0.5km","MPO-042_0.5km","490061.87720625"
"MPO-043_0.5km","MPO-043_0.5km","1396141.9045202"
"MPO-044_0.5km","MPO-044_0.5km","718158.51732375"
"MPO-045_0.5km","MPO-045_0.5km","1270012.35676125"
"MPO-046_0.5km","MPO-046_0.5km","1104301.3612044"
"MPO-047_0.5km","MPO-047_0.5km","11049.282405"
"MPO-048_0.5km","MPO-048_0.5km","136188.34118625"
"MPO-049_0.5km","MPO-049_0.5km","1597495.5824475"
"MPO-050_0.5km","MPO-050_0.5km","1835432.185705"
"MPO-052_0.5km","MPO-052_0.5km","593159.12670375"
"MPO-053_0.5km","MPO-053_0.5km","1027987.82748"
